Name,Distribution,Scatteredness
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"10(1), 1(12), 1(2) [1, 1, 1, 1, 1, 12, 1, 1, 2, 1, 1, 1]",0.6084671115921116
California,"29(1), 1(2) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16112861712646423
bio-grid-fission-yeast,"5(1), 1(25), 1(3) [1, 1, 25, 1, 1, 1, 3]",0.8361471861471862
Name,Distribution,Scatteredness
email-univ,"6(1), 1(16), 2(2) [1, 1, 16, 2, 1, 1, 1, 1, 2]",0.7177808302808303
facebook,"7(1), 2(2), 1(4), 1(14), 1(3) [1, 2, 1, 2, 4, 14, 1, 1, 1, 1, 3, 1]",0.5849961670274171
CA-CondMat,"18(1), 1(8), 1(2) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 2, 1, 1, 1, 1]",0.39634784489798863
caida,"8(1), 2(2), 1(13) [1, 1, 1, 2, 1, 1, 13, 1, 1, 2, 1]",0.6341284271284271
CA-AstroPh,"2(2), 6(1), 1(21) [2, 2, 1, 1, 1, 21, 1, 1, 1]",0.7633000512032769
Cit-HepTh,"6(1), 1(3), 1(15), 1(2) [1, 1, 1, 3, 1, 15, 1, 1, 2]",0.698550061050061
Cit-HepPh,"17(1), 1(4), 2(2), 1(3) [1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1]",0.2938818585034308
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"12(1), 1(2), 2(5) [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5]",0.4021484302734303
bio-grid-fission-yeast,"7(1), 1(3), 1(23) [1, 1, 3, 23, 1, 1, 1, 1, 1]",0.7826960076960078
