Name,Distribution,Scatteredness
email-univ,"10(1), 1(9), 1(3), 2(2) [1, 1, 1, 9, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2]",0.49364983307291
facebook,"7(1), 1(3), 1(14), 1(4), 2(2) [1, 1, 1, 3, 14, 4, 1, 1, 1, 1, 2, 2]",0.5849961670274171
oregon2_010331,"4(1), 1(5), 1(14) [1, 1, 1, 1, 5, 14]",0.7586956521739131
oregon1_010331,"7(1), 1(9), 1(7) [1, 9, 7, 1, 1, 1, 1, 1, 1]",0.6012594893029676
CA-CondMat,"19(1), 1(2), 1(7) [1, 2, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.3623342394558118
p2p-Gnutella24,"37(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11355638442761261
caida,"1(17), 8(1) [17, 1, 1, 1, 1, 1, 1, 1, 1]",0.7531587301587302
CA-AstroPh,"6(1), 2(2), 1(21) [1, 2, 21, 1, 2, 1, 1, 1, 1]",0.7633000512032769
Wiki-Vote,"1(25), 2(1) [25, 1, 1]",0.9567901234567902
Cit-HepTh,"6(1), 1(2), 1(18) [1, 1, 1, 1, 2, 18, 1, 1]",0.7776098901098901
inf-power,"17(1), 1(4), 2(3), 1(2) [1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 2]",0.29524225418722055
cora,"23(1), 1(5) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.2777127920626252
inf-euroroad,"29(1), 2(2) [1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16749227864959151
Email-Enron,"8(1), 1(2), 1(15) [1, 1, 1, 2, 1, 1, 1, 1, 1, 15]",0.6971587301587301
Cit-HepPh,"17(1), 1(3), 2(2), 1(4) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 4, 1, 2, 1, 1, 1, 1, 1]",0.2938818585034308
inf-openflights,"1(25), 2(1) [25, 1, 1]",0.9567901234567902
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"12(1), 1(2), 2(5) [1, 1, 1, 1, 2, 1, 1, 5, 1, 5, 1, 1, 1, 1, 1]",0.4021484302734303
California,"1(2), 29(1) [2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16112861712646423
bio-grid-fission-yeast,"1(26), 4(1), 1(3) [26, 1, 1, 1, 3, 1]",0.8621212121212121
Name,Distribution,Scatteredness
email-univ,"1(12), 7(1), 1(3), 2(2) [12, 1, 1, 1, 3, 1, 2, 1, 1, 1, 2]",0.6001234876234877
facebook,"1(4), 7(1), 1(14), 2(2), 1(3) [4, 1, 1, 14, 1, 1, 2, 2, 1, 1, 3, 1]",0.5849961670274171
oregon2_010331,"1(20), 3(1) [20, 1, 1, 1]",0.9166666666666666
oregon1_010331,"7(1), 1(5), 1(11) [1, 1, 1, 1, 5, 1, 11, 1, 1]",0.6447377501725328
