Name,Precision,Recall
cora,0.1746031746031746,0.7857142857142857
as20000102,0.6451612903225806,0.8333333333333334
bio-dmela,0.059278350515463915,0.92
bio-grid-fission-yeast,0.2641509433962264,0.42424242424242425
California,0.12244897959183673,0.7741935483870968
email-univ,0.19130434782608696,0.8461538461538461
inf-euroroad,0.09550561797752809,0.5151515151515151
inf-openflights,0.375,0.5555555555555556
inf-power,0.016710642040457344,0.6551724137931034
oregon1_010331,0.6333333333333333,0.8260869565217391
Name,Precision,Recall
p2p-Gnutella24,0.008625196027182437,0.8918918918918919
Name,Precision,Recall
Name,Precision,Recall
Name,Precision,Recall
as20000102,0.7037037037037037,0.7916666666666666
Name,Precision,Recall
email-univ,0.1506849315068493,0.8461538461538461
Name,Precision,Recall
email-univ,0.19130434782608696,0.8461538461538461
